id,ICAO CODE,IATA CODE,AIRPORT NAME,CITY,COUNTRY,Latitude,Longitude
189,CYYG,YYG,CHARLOTTETOWN,CHARLOTTETOWN,CANADA,46.29,-63.121
190,CYYH,YYH,TALOYOAK,SPENCE BAY,CANADA,69.547,-93.577
191,CYYJ,YYJ,VICTORIA INTERNATIONAL,VICTORIA,CANADA,48.647,-123.426
192,CYYL,YYL,LYNN LAKE,LYNN LAKE,CANADA,56.864,-101.076
193,CYYN,YYN,SWIFT CURRENT,SWIFT CURRENT,CANADA,50.292,-107.691
194,CYYQ,YYQ,CHURCHILL,CHURCHILL,CANADA,58.739,-94.065
195,CYYR,YYR,GOOSE BAY,GOOSE BAY,CANADA,53.319,-60.426
196,CYYT,YYT,ST JOHNS INTERNATIONAL,ST. JOHN'S,CANADA,47.619,-52.752
197,CYYU,YYU,KAPUSKASING,KAPUSKASING,CANADA,49.414,-82.468
198,CYYW,YYW,ARMSTRONG,ARMSTRONG,CANADA,50.29,-88.91
199,CYYY,YYY,MONT JOLI,MONT JOLI,CANADA,48.609,-68.208
200,CYYZ,YYZ,LESTER B PEARSON INTERNATIONAL,TORONTO,CANADA,43.677,-79.631
201,CYZD,YZD,DOWNSVIEW,TORONTO,CANADA,43.742,-79.466
202,CYZE,YZE,GORE BAY MANITOULIN,GORE BAY,CANADA,45.885,-82.568
203,CYZF,YZF,YELLOWKNIFE,YELLOWKNIFE,CANADA,62.463,-114.44
204,CYZH,YZH,SLAVE LAKE,SLAVE LAKE,CANADA,55.293,-114.778
205,CYZP,YZP,SANDSPIT,SANDSPIT,CANADA,53.254,-131.814
206,CYZR,YZR,CHRIS HADFIELD,SARNIA,CANADA,42.999,-82.309
207,CYZT,YZT,PORT HARDY,PORT HARDY,CANADA,50.681,-127.367
208,CYZU,YZU,WHITECOURT,WHITECOURT,CANADA,54.144,-115.787
209,CYZV,YZV,SEPT ILES,SEPT-ILES,CANADA,50.223,-66.266
210,CYZW,YZW,TESLIN,TESLIN,CANADA,60.173,-132.743
211,CYZX,YZX,GREENWOOD,GREENWOOD,CANADA,44.984,-64.917
212,CZFA,ZFA,FARO,FARO,CANADA,62.208,-133.376
213,CZFM,ZFM,FORT MCPHERSON,FORT MCPHERSON,CANADA,67.408,-134.86
214,DAAB,N/A,BLIDA,BLIDA,ALGERIA,36.504,2.814
215,DAAD,N/A,BOU SAADA,BOU SAADA,ALGERIA,35.333,4.206
